name,category
Oakland,Use Of Force
Oakland,Illegal Search
O'Hare,Operation/Personnel Violations
O'Hare,Use Of Force
O'Hare,Verbal Abuse
Old Town,Operation/Personnel Violations
Old Town,Use Of Force
Old Town,Verbal Abuse
Portage Park,Operation/Personnel Violations
Portage Park,Use Of Force
Portage Park,Verbal Abuse
Printers Row,Operation/Personnel Violations
Printers Row,Lockup Procedures
Printers Row,Use Of Force
Pullman,Operation/Personnel Violations
Pullman,Use Of Force
Pullman,Lockup Procedures
Riverdale,Operation/Personnel Violations
Riverdale,Use Of Force
Riverdale,Illegal Search
River North,Operation/Personnel Violations
River North,Use Of Force
River North,Verbal Abuse
Rogers Park,Operation/Personnel Violations
Rogers Park,Use Of Force
Rogers Park,Illegal Search
Roseland,Operation/Personnel Violations
Roseland,Use Of Force
Roseland,Illegal Search
Rush & Division,Use Of Force
Rush & Division,Operation/Personnel Violations
Rush & Division,Verbal Abuse
"Sauganash,Forest Glen",Operation/Personnel Violations
"Sauganash,Forest Glen",Use Of Force
"Sauganash,Forest Glen",Conduct Unbecoming (Off-Duty)
Sheffield & DePaul,Operation/Personnel Violations
Sheffield & DePaul,Use Of Force
Sheffield & DePaul,Traffic
South Chicago,Operation/Personnel Violations
South Chicago,Use Of Force
South Chicago,Illegal Search
South Deering,Operation/Personnel Violations
South Deering,Use Of Force
South Deering,Lockup Procedures
South Shore,Operation/Personnel Violations
South Shore,Use Of Force
South Shore,Illegal Search
Streeterville,Operation/Personnel Violations
Streeterville,Use Of Force
Streeterville,Verbal Abuse
Ukrainian Village,Operation/Personnel Violations
Ukrainian Village,Use Of Force
Ukrainian Village,Verbal Abuse
United Center,Operation/Personnel Violations
United Center,Use Of Force
United Center,Drug / Alcohol Abuse
Uptown,Use Of Force
Uptown,Operation/Personnel Violations
Uptown,Illegal Search
Washington Heights,Operation/Personnel Violations
Washington Heights,Use Of Force
Washington Heights,Illegal Search
Washington Park,Operation/Personnel Violations
Washington Park,Use Of Force
Washington Park,Illegal Search
West Elsdon,Use Of Force
West Elsdon,Operation/Personnel Violations
West Elsdon,Traffic
West Lawn,Operation/Personnel Violations
West Lawn,Use Of Force
West Lawn,Verbal Abuse
West Loop,Operation/Personnel Violations
West Loop,Use Of Force
West Loop,Drug / Alcohol Abuse
West Pullman,Operation/Personnel Violations
West Pullman,Use Of Force
West Pullman,Illegal Search
West Ridge,Operation/Personnel Violations
West Ridge,Use Of Force
West Ridge,Illegal Search
West Town,Operation/Personnel Violations
West Town,Use Of Force
West Town,Verbal Abuse
Wicker Park,Use Of Force
Wicker Park,Operation/Personnel Violations
Wicker Park,Verbal Abuse
Woodlawn,Operation/Personnel Violations
Woodlawn,Use Of Force
Woodlawn,Illegal Search
Wrigleyville,Use Of Force
Wrigleyville,Operation/Personnel Violations
Wrigleyville,Verbal Abuse
