name,category
Albany Park,Operation/Personnel Violations
Albany Park,False Arrest
Andersonville,Operation/Personnel Violations
Andersonville,Conduct Unbecoming (Off-Duty)
Armour Square,False Arrest
Armour Square,Use Of Force
Ashburn,Use Of Force
Ashburn,Unknown
Ashburn,Conduct Unbecoming (Off-Duty)
Auburn Gresham,Operation/Personnel Violations
Auburn Gresham,Lockup Procedures
Auburn Gresham,Use Of Force
Austin,Operation/Personnel Violations
Austin,False Arrest
Austin,Use Of Force
Avalon Park,Operation/Personnel Violations
Avalon Park,False Arrest
Avalon Park,Use Of Force
Avondale,Operation/Personnel Violations
Avondale,Use Of Force
Belmont Cragin,Use Of Force
Belmont Cragin,Operation/Personnel Violations
Belmont Cragin,Conduct Unbecoming (Off-Duty)
Beverly,Operation/Personnel Violations
Beverly,Lockup Procedures
Beverly,Illegal Search
Boystown,False Arrest
Bridgeport,Operation/Personnel Violations
Bridgeport,Use Of Force
Bridgeport,Drug / Alcohol Abuse
Brighton Park,Operation/Personnel Violations
Burnside,Use Of Force
Calumet Heights,Operation/Personnel Violations
Calumet Heights,False Arrest
Chatham,Operation/Personnel Violations
Chatham,False Arrest
Chatham,Use Of Force
Chicago Lawn,Operation/Personnel Violations
Chicago Lawn,False Arrest
Chicago Lawn,Illegal Search
Clearing,Operation/Personnel Violations
Douglas,Operation/Personnel Violations
Douglas,Drug / Alcohol Abuse
Douglas,Medical
Dunning,Domestic
East Side,Use Of Force
East Side,Conduct Unbecoming (Off-Duty)
Edgewater,Operation/Personnel Violations
Edison Park,Use Of Force
Edison Park,Operation/Personnel Violations
Edison Park,Unknown
Englewood,Operation/Personnel Violations
Englewood,Illegal Search
Englewood,False Arrest
Fuller Park,Operation/Personnel Violations
Fuller Park,Lockup Procedures
Fuller Park,Use Of Force
Gage Park,Conduct Unbecoming (Off-Duty)
Gage Park,Operation/Personnel Violations
Galewood,Operation/Personnel Violations
Garfield Park,Operation/Personnel Violations
Garfield Park,False Arrest
Garfield Park,Lockup Procedures
Garfield Ridge,Operation/Personnel Violations
Garfield Ridge,Conduct Unbecoming (Off-Duty)
Garfield Ridge,Drug / Alcohol Abuse
Gold Coast,Use Of Force
Gold Coast,Operation/Personnel Violations
Grand Boulevard,Operation/Personnel Violations
Grand Boulevard,Use Of Force
Grand Boulevard,False Arrest
Grand Crossing,Illegal Search
Grand Crossing,Operation/Personnel Violations
Grand Crossing,False Arrest
Grant Park,Unknown
Grant Park,Operation/Personnel Violations
Hegewisch,Operation/Personnel Violations
Hermosa,Operation/Personnel Violations
Hermosa,Use Of Force
Hermosa,False Arrest
Humboldt Park,Operation/Personnel Violations
Humboldt Park,Illegal Search
Humboldt Park,Use Of Force
Hyde Park,Operation/Personnel Violations
Hyde Park,Domestic
Irving Park,Operation/Personnel Violations
Irving Park,False Arrest
Irving Park,Illegal Search
Jackson Park,Use Of Force
Jefferson Park,Conduct Unbecoming (Off-Duty)
Jefferson Park,Operation/Personnel Violations
Jefferson Park,Traffic
Kenwood,False Arrest
Kenwood,Conduct Unbecoming (Off-Duty)
Kenwood,Operation/Personnel Violations
Lake View,Operation/Personnel Violations
Lake View,Use Of Force
Lake View,Lockup Procedures
Lincoln Park,Operation/Personnel Violations
Lincoln Square,Operation/Personnel Violations
Lincoln Square,Use Of Force
Lincoln Square,Illegal Search
"Little Italy, UIC",Operation/Personnel Violations
"Little Italy, UIC",Racial Profiling
"Little Italy, UIC",Use Of Force
Little Village,Use Of Force
Little Village,Illegal Search
Little Village,Money / Property
Logan Square,Conduct Unbecoming (Off-Duty)
Logan Square,Operation/Personnel Violations
Loop,Operation/Personnel Violations
Loop,Traffic
Loop,Unknown
Lower West Side,Operation/Personnel Violations
Lower West Side,False Arrest
Lower West Side,Verbal Abuse
Mckinley Park,Operation/Personnel Violations
Mckinley Park,Illegal Search
Montclare,Use Of Force
Morgan Park,Operation/Personnel Violations
Morgan Park,Use Of Force
Morgan Park,Domestic
Mount Greenwood,Domestic
Mount Greenwood,Operation/Personnel Violations
Mount Greenwood,Use Of Force
Near South Side,Operation/Personnel Violations
Near South Side,Use Of Force
New City,Operation/Personnel Violations
New City,Lockup Procedures
New City,Money / Property
North Center,Drug / Alcohol Abuse
North Lawndale,Operation/Personnel Violations
North Lawndale,Illegal Search
North Lawndale,Traffic
North Park,Operation/Personnel Violations
Norwood Park,Domestic
Norwood Park,Use Of Force
Norwood Park,Conduct Unbecoming (Off-Duty)
Oakland,Operation/Personnel Violations
Oakland,Conduct Unbecoming (Off-Duty)
O'Hare,Operation/Personnel Violations
O'Hare,Conduct Unbecoming (Off-Duty)
O'Hare,Use Of Force
Old Town,Operation/Personnel Violations
Old Town,Lockup Procedures
Portage Park,Domestic
Portage Park,Use Of Force
Portage Park,Operation/Personnel Violations
Pullman,Operation/Personnel Violations
Pullman,Use Of Force
Pullman,Lockup Procedures
Riverdale,Operation/Personnel Violations
River North,Operation/Personnel Violations
River North,Traffic
River North,False Arrest
Rogers Park,Illegal Search
Rogers Park,False Arrest
Roseland,Operation/Personnel Violations
Roseland,Lockup Procedures
Roseland,Conduct Unbecoming (Off-Duty)
Rush & Division,Operation/Personnel Violations
Rush & Division,False Arrest
"Sauganash,Forest Glen",Operation/Personnel Violations
South Chicago,Operation/Personnel Violations
South Chicago,False Arrest
South Chicago,Use Of Force
South Deering,Operation/Personnel Violations
South Deering,False Arrest
South Deering,Money / Property
South Shore,Operation/Personnel Violations
South Shore,Use Of Force
South Shore,Lockup Procedures
Streeterville,Operation/Personnel Violations
Streeterville,Traffic
Streeterville,Drug / Alcohol Abuse
Ukrainian Village,Operation/Personnel Violations
United Center,Operation/Personnel Violations
United Center,Conduct Unbecoming (Off-Duty)
United Center,Bribery / Official Corruption
Uptown,Operation/Personnel Violations
Uptown,Domestic
Uptown,False Arrest
Washington Heights,Operation/Personnel Violations
Washington Heights,False Arrest
Washington Heights,Conduct Unbecoming (Off-Duty)
Washington Park,Operation/Personnel Violations
West Elsdon,Use Of Force
West Lawn,Operation/Personnel Violations
West Loop,Operation/Personnel Violations
West Loop,False Arrest
West Loop,Drug / Alcohol Abuse
West Pullman,Operation/Personnel Violations
West Pullman,Money / Property
West Pullman,Use Of Force
West Ridge,Operation/Personnel Violations
West Ridge,Illegal Search
West Ridge,Lockup Procedures
West Town,Operation/Personnel Violations
West Town,Unknown
West Town,Illegal Search
Wicker Park,Use Of Force
Woodlawn,Operation/Personnel Violations
Woodlawn,False Arrest
Woodlawn,Lockup Procedures
